person,contributor_group,homepage,paper,year,paper_url,project_url,doi,arxiv_id,model_raw,model_canonical,entity_type,robot_type,arm_model,end_effector,usage_context,world,evidence,evidence_url,evidence_location,verification_status
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Li Fei-Fei,Core Team,https://engineering.stanford.edu/people/fei-fei-li,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Li Fei-Fei,Core Team,https://engineering.stanford.edu/people/fei-fei-li,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Yunfan Jiang,Supporting Team,https://yunfanj.com/,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Josiah Wong,Core Team,http://jowo.me,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Chen Wang,Alumni,https://www.chenwangjeremy.net/,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Hang Yin,Core Team,https://hang-yin.github.io,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Cem Gokmen,Core Team,https://www.cemgokmen.com/,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Jiajun Wu,Core Team,https://jiajunwu.com/,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
Li Fei-Fei,Core Team,https://engineering.stanford.edu/people/fei-fei-li,BEHAVIOR Robot Suite: Streamlining Real-World Whole-Body Manipulation for Everyday Household Activities,2025,https://arxiv.org/abs/2503.05652,https://behavior-robot-suite.github.io/,,2503.05652,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,真实家庭任务、数据采集与策略评测,real world and simulation ablation,Paper Section II-A explicitly selects the Galaxea R1 platform.,https://behavior-robot-suite.github.io/,official project page,verified
