behavior_model,sold_model,match_type,product_scope,condition,availability,price_kind,currency,price_min,price_max,tax_status,shipping_status,source_type,seller,source_url,confidence,notes,exchange_rate_to_cny,exchange_rate_date,exchange_rate_source,cny_min,cny_max,observed_at,category
Franka Research 3 mounted cart,Franka Research 3 mounted on custom extrusion cart,custom BEHAVIOR configuration,FR3 plus custom cart,new/custom,no complete commercial bundle,no_public_price,,,,not applicable,not applicable,official manufacturer,Franka Robotics,https://franka.de/franka-research-3,high,"The cart is a BEHAVIOR configuration, not a priced Franka product. No component prices are added together.",,,,,,2026-07-02,stationary manipulator
Fetch,Fetch Mobile Manipulator,exact,complete mobile manipulator,historical new list price,legacy / no current new public offer,from,USD,100000.0,100000.0,unknown,unknown,robot reference database,ROBOTS Guide,https://robotsguide.com/robots/fetch,medium,Historical base price for the complete Fetch mobile manipulator; not a current quotation.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,679450.0,679450.0,2026-07-02,mobile manipulator
PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo dual-arm configuration,exact configuration class,complete bimanual mobile manipulator,new,official request for quote,quote,,,,not applicable,not applicable,official manufacturer,PAL Robotics,https://pal-robotics.com/robot/tiago/,high,TIAGo Head and single-arm prices are not substituted for the dual-arm configuration.,,,,,,2026-07-02,bimanual mobile manipulator
PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo / TIAGo++ configurations,third-party indicative range,base through dual-arm configurations,new estimate,commercially available,range,USD,30000.0,100000.0,unknown,unknown,robot market database,BotMarket24,https://botmarket24.com/en/robot-database/pal-tiago/,low,"Indicative family range, not an official quote for the exact dual-arm configuration.",6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,203835.0,679450.0,2026-07-02,bimanual mobile manipulator
Hello Robot Stretch,Hello Robot Stretch 3,previous-generation historical reference,complete mobile manipulator,historical new list price,superseded by Stretch 4,fixed,USD,24950.0,24950.0,not stated,not stated,specialist robot database,ui44,https://ui44.com/robots/hello-robot-stretch-3,medium,Previous-generation Stretch 3 list-price reference; BEHAVIOR names the family generically as Stretch.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,169522.78,169522.78,2026-07-02,mobile manipulator
Hello Robot Stretch,Hello Robot Stretch 4,current-generation reference,complete mobile manipulator,new,available; typically ships in 2–4 weeks,fixed,USD,29950.0,29950.0,not stated,not stated,official manufacturer store,Hello Robot,https://hello-robot.com/purchase/,high,"Current Stretch 4 price; it is a family successor reference, not proof that the BEHAVIOR asset is Stretch 4.",6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,203495.28,203495.28,2026-07-02,mobile manipulator
Galaxea R1,Galaxea R1 legacy 6-DOF-arm platform,exact legacy family,complete bimanual mobile manipulator,legacy,no current exact-model public price,no_public_price,,,,not applicable,not applicable,official current-family store,Galaxea Dynamics,https://galaxea-dynamics.com/products/6-dof-general-mobile-manipulation-platform,high,"The current official store sells R1 Lite 2026, not the legacy R1; no current exact-model public price was found. Do not confuse with Unitree R1, and treat R1 Lite only as a successor reference.",,,,,,2026-07-02,bimanual mobile manipulator
Galaxea R1,Galaxea R1 Lite 2026,successor/reference only,complete 6-DOF dual-arm mobile manipulator,new,in stock / order inquiry,fixed,USD,39999.0,39999.0,not stated,not stated,official store,Galaxea Dynamics,https://galaxea-dynamics.com/products/6-dof-general-mobile-manipulation-platform,high,Current R1 Lite successor reference; not assigned as the legacy R1 exact price.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,271773.21,271773.21,2026-07-02,bimanual mobile manipulator
Galaxea R1 Pro,Galaxea R1 Pro 2026,current exact family,complete 7-DOF dual-arm mobile manipulator,new,in stock / order inquiry,fixed,USD,69999.0,69999.0,not stated,not stated,official store,Galaxea Dynamics,https://galaxea-dynamics.com/products/galaxea-r1-pro-universal-humanoid-robot,high,"Package includes base, two 7-DOF arms and two G1 grippers; optional cameras and dexterous hands are excluded.",6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,475608.21,475608.21,2026-07-02,bimanual mobile manipulator
BehaviorRobot,BehaviorRobot,exact virtual agent,virtual VR teleoperation proxy,not applicable,non-commercial software model,not_for_sale,,,,not applicable,not applicable,official BEHAVIOR documentation,BEHAVIOR project,https://behavior.stanford.edu/omnigibson/robots.html,high,Virtual agent used for VR teleoperation; it is not a commercial physical robot.,,,,,,2026-07-02,VR bimanual agent proxy
